ОКЛИ
ул.Рентгена д.23 факс (812) 232-12 85 тел. 8-901-315-17-37 www.okli.spb.ru,www.ellett.ru e-mail: info@ellett.ru
Наименование | Описание | Размер и Упаковка | Дилерская цена руб/м2 | Розничная цена руб/м2
DESIGN COLLECTION | Трехслойная паркетная доска, ценный слой 3,5мм. | Продольная микрофаска
Дуб Grey White Wash | 1-полосный, полуматовый лак, браш | 14х189х1860мм. 1уп.=2,812м2 | 3535 | 4454
Дуб Natural White Wash | 1-полосный, полуматовый лак, браш | 14х189х1860мм. 1уп.=2,812м2 | 3535 | 4454
Дуб White Wash | 1-полосный, полуматовый лак, браш | 14х189х1860мм. 1уп.=2,812м2 | 3535 | 4454
Дуб Select White Wash | 1-полосный, полуматовый лак, браш | 14х189х1860мм. 1уп.=2,812м2 | 4103 | 5169
Дуб Eben | 1-полосный, матовый лак, браш | 14х189х1860мм. 1уп.=2,812м2 | 3354 | 4225
Дуб Ice White | 1-полосный, полуматовый лак, гладкий | 14х189х1860мм. 1уп.=2,812м2 | 3354 | 4225
Дуб Select Ice White | 1-полосный, полуматовый лак, гладкий | 14х189х1860мм. 1уп.=2,812м2 | 3974 | 5007
Дуб Grey | 1-полосный, полуматовый лак, браш | 14х189х1860мм. 1уп.=2,812м2 | 3416 | 4304
Дуб Light Grey | 1-полосный, полуматовый лак, браш | 14х189х1860мм. 1уп.=2,812м2 | 3416 | 4304
Дуб Cognac | 1-полосный, матовый лак, браш | 14х189х1860мм. 1уп.=2,812м2 | 3354 | 4225
Дуб Sand White | 1-полосный, полуматовый лак, браш | 14х189х1860мм. 1уп.=2,812м2 | 3416 | 4304
Дуб Select Sand White | 1-полосный, полуматовый лак, браш | 14х189х1860мм. 1уп.=2,812м2 | 3974 | 5007
Дуб Select | 1-полосный, полуматовый лак, браш | 14х189х1860мм. 1уп.=2,812м2 | 3659 | 4611
Дуб Unfinished | 1-полосный, браш, без покрытия | 14х189х1860мм. 1уп.=2,812м2 | 3289 | 4144
