АО «Олимп и К»
193230, Санкт-Петербург , пер. Челиева, д.7,тел. 740-71-32
E-mail: office@olimpic.ru, www.olimpic.ru
Прайс-лист
на расходный материал
на аксессуары (цены на 16.05.2025)
Наименование | Розничная цена | Мелкооптовая цена от 50- до 100 шт | Оптовая цена от 100 шт.-и более
КЛЕЙ
Клей Forbo Ereurt морозоустойчивый влажный 425 ( 20 кг ) | 8906 | 7727 | 6887
Клей Forbo Ereurt морозоустойчивый влажный 425 ( 13 кг ) | 5800 | 5029 | 4480
Клей Forbo Ereurt 522 ( 13 кг ) | 9832 | 8521 | 7538
Клей Forbo Ereur 522 ( 20 кг ) | 15122 | 13104 | 11590
Клей Forbo Ereur 523 ( 12 кг ) токопроводящий | 11331 | 9819 | 8764
Клей Forbo Ereurt 525 ( 13 кг ) | 6880 | 5964 | 5298
Клей Forbo Ereur 525 ( 20 кг ) | 10580 | 9169 | 8144
Клей Forbo Ereurt 528 ( 13 кг ) | 8056 | 6982 | 6195
Клей Forbo Ereurt 528 ( 20 кг ) | 12403 | 10747 | 9538
Клей Forbo Ereurt 599 ( 10 кг ) | 7560 | 6553 | 5813
Клей Forbo Ereurt 599 ( 20 кг ) | 15122 | 13104 | 11632
Клей Forbo Eurofix Anti Slip 541 ( 10кг ) фиксатор | 9186 | 7958 | 7025
Клей Forbo Eurofix Multy 545 ( 13 кг ) фиксатор | 8570 | 7427 | 6571
Клей Forbo Europlan 976 ( 25 кг ) смесь сухая напольная | 2351 | 2039 | 1883
Токопроводящая грунтовка EUROPRIMER EL 041 ( 10 кг ) | 13199 | 11439 | 10094
Универсальная грунтовка EUROPRIMER MULTI 044 ( 10 кг ) | 7827 | 6790 | 6036
Клей 2-компонентный полиуретановый EUROMIX 140 ( 9,2кг ) | 9648 | 8287 | 7298
Клей д/холодной сварки Rico 60 мл | 210 | 181 | 166
BOSTIK акриловый эмульсионный клей KS 330 20 кг | 18598 | 15838 | 13768
BOSTIK универсальный акриловый эмульсионный клей KU 320 20 кг | 13420 | 11127 | 9482
BOSTIK универсальный акриловый эмульсионный клей KU 320 6кг | 4550 | 3783 | 3246
BOSTIK клей для бытового линолеума SMARTBOND LINO 3 кг | 1390 | 1135 | 925
BOSTIK клей для склеивания швов ПВХ Линоколь (холодная сварка) 0,05 л | 489 | 395 | 313
BOSTIK гибридный клей для многослойного паркета TARBICOL KPH 14кг | 12280 | 10206 | 8750
BOSTIK клей для паркета TARBICOL MS ELASTIC 21кг | 21755 | 17625 | 14099
Клей Хомакол 164 10кг | 6773 | 5579 | 5347
Клей Хомакол 164 20кг | 13572 | 11170 | 10715
Клей Хомакол 208 1,3кг | 513 | 422 | 394
Клей Хомакол 208 14кг | 4786 | 3929 | 3681
Клей Хомакол 208 4кг | 1522 | 1250 | 1170
Клей Хомакол 208 7кг | 2548 | 2092 | 1960
Клей Хомакол 248 14кг | 4590 | 3768 | 3530
Клей Хомакол 248 4кг | 1472 | 1208 | 1132
Клей Хомакол 248 7кг | 2452 | 2013 | 1886
Клей Хомакол 268 1кг | 640 | 524 | 493
Клей Хомакол 268 5кг | 2911 | 2390 | 2239
Клей Хомакол 268 10кг | 5529 | 4542 | 4253
Клей Хомакол S 401 60 мл (холодная сварка) с иглой для нанесения | 397 | 373 | 346
Клей Arlok 33 1,3 кг | 598 | 530 | 495
Клей Arlok 33 4 кг | 1781 | 1575 | 1472
Клей Arlok 33 7 кг | 2966 | 2628 | 2458
Клей Arlok 33 14 кг | 5656 | 5005 | 4680
Клей Arlok 34 1,3 кг | 570 | 505 | 473
Клей Arlok 34 4 кг | 1707 | 1513 | 1416
Клей Arlok 34 7 кг | 2852 | 2526 | 2363
Клей Arlok 34 14 кг | 5426 | 4804 | 4492
Клей Arlok 35 1,3 кг | 1010 | 896 | 839
Клей Arlok 35 3,5 кг | 2601 | 2304 | 2156
Клей Arlok 35 6,5 кг | 4693 | 4158 | 3890
Клей Arlok 35 13 кг | 8948 | 7922 | 7409
Клей Arlok 39 3 кг | 1925 | 1703 | 1591
Клей Arlok 39 5 кг | 3205 | 2837 | 2653
Зубчатый шпатель А2 200мм | 346 | 307 | 287
Универсальный клей UnderFloor XTRA FIX UF-79 2,5 кг | 1692 | 1402 | 1209
Универсальный клей UnderFloor XTRA FIX UF-79 6,5 кг | 4222 | 3499 | 3016
Универсальный клей UnderFloor XTRA FIX UF-79 13 кг | 7592 | 6291 | 5423
Клей для модульных покрытий Kiitos Step plus 2,5 кг | 2842 | 2295 | 1947
Клей для модульных покрытий Kiitos Step plus 6,5 кг | 4902 | 4159 | 3629
Клей для модульных покрытий Kiitos Step plus 13 кг | 9081 | 7709 | 6744
Клей-фиксатор напольных покрытий GOLDBASTIK BF 53 (12кг) | 7838 | 6558 | 6029
Клей для виниловых и ковровых покрытий GOLDBASTIK BF 55 7кг | 2897 | 2480 | 2318
