ПРАЙС ЛИСТ
Товарная Группа | Номенклатура | Цена с НДС/руб
ПМ | К55 | 67.15
ПМ | К55-В | 11.3
ПМ | К55-Н | 11.3
ПМ | К55-Нк | 15.25
ПМ | К55-С | 9.65
ПМ | К55-Тп | 19.25
ПМ | К55-В-Ф2 | 27.75
ПМ | К55-Н-Ф2 | 27.75
ПМ | К55-Нк-Ф2 | 35.65
ПМ | К55-С-Ф2 | 24.35
ПМ | К55-Тп-Ф1 | 24.35
ПМ | ОТ16-22 | 18.4
ПМ | ОТ25-34 | 26.15
ПМ | ОТ16-22-Ф2 | 41.8
ПМ | ОТ25-34-Ф2 | 57.3
ПМ | К-П55п | 67.15
ПМ | К-П55-В | 11.3
ПМ | К-П55-Нк | 15.25
ПМ | К-П55-С | 9.65
ПМ | К-П55-Тп | 19.25
ПМ | К-П55-В-Ф2 | 27.75
ПМ | К-П55-Нк-Ф2 | 35.65
ПМ | К-П55-С-Ф2 | 24.35
ПМ | К-П55-Тп-Ф1 | 24.35
ПМ | К-П70п | 78.6
ПМ | К-П70 | 98.75
ПМ | К-П70-В | 13.2
ПМ | К-П70-Нк | 17.9
ПМ | К-П70-С | 11.25
ПМ | К-П70-Тп | 22.5
ПМ | К-П70-В-Ф2 | 31.6
ПМ | К-П70-Нк-Ф2 | 40.85
ПМ | К-П70-С-Ф2 | 27.6
ПМ | К-П70-Тп-Ф1 | 27.6
ПМ | К-П85п | 96.75
ПМ | К-П85 | 118.5
ПМ | К-П85-В | 16.3
ПМ | К-П85-Нк | 22
ПМ | К-П85-С | 13.85
ПМ | К-П85-Тп | 27.75
ПМ | К-П85-В-Ф2 | 37.7
ПМ | К-П85-Нк-Ф2 | 49.15
ПМ | К-П85-С-Ф2 | 32.8
ПМ | К-П85-Тп-Ф1 | 32.8
ПМ | ИД-ПП80 | 192.6
ПМ | ИД-ПП80-Н8-Ф1 | 40.4
ПМ | ИД-ПО80 | 192.6
ПМ | ИД-ПО80-Н8-Ф1 | 40.4
ПМ | ИД-ПФ80 | 192.6
