АО «Олимп и К»
193230, Санкт-Петербург , пер. Челиева, д.7,тел. 740-71-32
E-mail: office@olimpic.ru, www.olimpic.ru
Оптовый прайс-лист на ламинат (цены на 12.05.25)
Коллекция ламината | Класс | Производитель | Размер | Ед.изм. | Опт.ст-ть и ДКК | Цена за пачку
ESTETICA | 33 | Tarkett (Россия) | 1292х194х9 | кв.м (3,99шт.) | 1387 | 1669.3872340038
пачка(7шт.=1,754кв.м) | 2433 | 2929
ROBINSON Premium 833 | 33 | Tarkett (Россия) | 1292х194х8 | кв.м (3,99шт.) | 1009 | 1215.8485206345
пачка(8шт.=2,005кв.м) | 2024 | 2438
INTERMEZZO | 33 | Tarkett (Россия) | 1292х194х8 | кв.м (3,99шт.) | 1110 | 1334.5408700648
пачка(8шт.=2,005кв.м) | 2226 | 2676
IMPERATOR | 33 | Tarkett (Россия) | 1292х194х8 | кв.м (3,99шт.) | 1280 | 1538.0134690881
пачка(8шт.=2,005кв.м) | 2567 | 3084
HOLIDAY 832 | 32 | Tarkett (Россия) | 1292х194х8 | кв.м (3,99шт.) | 887 | 1068.729852223
пачка(8шт.=2,005кв.м) | 1779 | 2143
FIESTA 832 | 32 | Tarkett (Россия) | 1292х194х8 | кв.м (3,99шт.) | 887 | 1068.729852223
пачка(8шт.=2,005кв.м) | 1779 | 2143
Woodstock Premium 833 | 33 | Tarkett (Россия) | 1292х194х8 | кв.м (3,99шт.) | 1148 | 1380.9206536657
пачка(8шт.=2,005кв.м) | 2302 | 2769
CINEMA | 32 | Tarkett (Россия) | 1292х194х8 | кв.м (3,99шт.) | 1032 | 1269.2102071431
пачка(8шт.=2,005кв.м) | 2070 | 2545
GERMANY | 32 | Tarkett (Россия), бренд Sommer | 1292х194х8 | кв.м (3,99шт.) | 665 | 952.5310395455
пачка(8шт.=2,005кв.м) | 1334 | 1910
RIVIERA 833 | 33 | Tarkett (Россия) | 1292х194х8 | кв.м (3,99шт.) | 907 | 1066.7350228208
пачка(8шт.=2,005кв.м) | 1819 | 2139
NAVIGATOR | 33 | Tarkett (Россия) | 1292х194х12 | кв.м (3,99шт.) | 1506 | 1854.3934122754
пачка(5шт.=1,253кв.м) | 1888 | 2324
PILOT | 33 | Tarkett (Россия) | 1292х159х10 | кв.м (4,87шт.) | 1462 | 1762.1745818486
пачка(6шт.=1,232кв.м) | 1802 | 2172
POEM 1033 | 33+ | Tarkett (Россия) | 1292х194х10 | кв.м (3,99шт.) | 1462 | 1762.0993052674
пачка(6шт.=1,503кв.м) | 2198 | 2650
BALLET 833 | 33 | Tarkett (Россия) | 1292х194х8 | кв.м (3,99шт.) | 1219 | 1587.3854967923
пачка(8шт.=2,005кв.м) | 2445 | 3183
GALLERY 1233 | 33 | Tarkett (Россия) | 1292х116х12 | кв.м (6,67шт.) | 1578 | 1992.3668196861
пачка(5шт.=0,749кв.м) | 1182 | 1493
DYNASTY 1233 | 33 | Tarkett (Россия) | 1292х159х12 | кв.м (4,87шт.) | 1542 | 1850.7700994996
пачка(5шт.=1,027кв.м) | 1584 | 1901
CRUISE 832 | 32 | Tarkett (Россия) | 1292х159х8 | кв.м (4,87шт.) | 1083 | 1317.9800221976
пачка(8шт.=1,643кв.м) | 1780 | 2166
CELEBRETION 1233 | 33 | Tarkett (Россия) | 1292х194х12 | кв.м (3,99шт.) | 1405 | 1638.9518368389
пачка(5шт.=1,253кв.м) | 1761 | 2054
TAIGA | PERVAYA SIBIRSKAYA 1032 | 32 | Tarkett (Россия), бренд Taiga | 1292х194х10 | кв.м (3,99шт.) | 1046 | 1276.6908174013
пачка(6шт.=1,503кв.м) | 1573 | 1920
PERVAYA URALSKAYA 832 | 32 | Tarkett (Россия), бренд Taiga | 1292х194х8 | кв.м (3,99шт.) | 812 | 1001.9030672497
пачка(8шт.=2,005кв.м) | 1629 | 2009
K R O N O S P A N | Kronospan FORTE Twin Clic | 33 | Kronospan (Россия) | 1285х192х8 | кв.м (4,05шт.) | 702.10044675025 | 852.06802132872
пачка(9шт.=2,22кв.м) | 1559 | 1892
Kronospan Castello Twin Click | 32 | Kronospan (Россия) | 1285х192х8 | кв.м (4,05шт.) | 634.09713215161 | 789.01859057501
пачка(9шт.=2,22кв.м) | 1408 | 1752
32 | Kronospan BY (Белоруссия) Сморгонь | 1285х123х8 | кв.м (6,33шт.)
пачка(12шт.=1,89кв.м)
32 | Kronospan BY (Белоруссия) Сморгонь | 1285х192х8 | кв.м (4,05шт.)
пачка(9шт.=2,22кв.м)
32 | Kronospan BY (Белоруссия) Сморгонь | 1285х192х8 | кв.м (4,05шт.)
пачка(9шт.=2,22кв.м)
Kronostar SUPERIOR EVOLUTION | 32 | Kronostar (Россия) | 1380х193х8 | кв.м (3,75шт.) | 374.99061350154
пачка(8шт.=2,131кв.м) | 799
Kastamonu | FLOORPAN BLACK | 33 | Kastamonu (Россия) | 1380х193х8 | кв.м (3,75шт.) | 774.85544792371 | 1048.9412029736
пачка(8шт.=2,131кв.м) | 1651 | 2235
FLOORPAN BLACK (новый замок) | 33 | Kastamonu (Россия) | 1380х195х8 | кв.м (3,72шт.) | 774.80490523969 | 1048.8665923449
пачка(8шт.=2,153кв.м) | 1668 | 2258
FLOORPAN RED | 32 | Kastamonu (Россия) | 1380х193х8 | кв.м (3,75шт.) | 560.8432830217 | 764.99962454006
пачка(8шт.=2,131кв.м) | 1195 | 1630
