АО «Олимп и К»
193230, Санкт-Петербург , пер. Челиева, д.7,тел. 740-71-32
E-mail: office@olimpic.ru, www.olimpic.ru
Прайс-лист
на паркетную доску STEP (цены на 01.11.24)
Коллекция | Размер | Ед.изм. | ЦЕНА
*T A R K E T T* * T A R K E T T* * T A R K E T T* * T A R K E T T* * T A R K E T T* | 1000х140х14
STEP OAK BARON BROWN L 1000 BR MDB PN | Дуб Барон темный браш | 1000х140х14 | кв.м (7,14шт.) | 8365.4761904762
пачка(6шт.=0,84кв.м) | 7027
STEP OAK BARON CORAL L 1000 BR MDB PN | Дуб Барон Корал браш | 1000х140х14 | кв.м (7,14шт.) | 6228.5714285714
пачка(6шт.=0,84кв.м) | 5232
STEP OAK BARON L 1000 BR MDB PN | Дуб Барон браш | 1000х140х14 | кв.м (7,14шт.) | 8865.4761904762
пачка(6шт.=0,84кв.м) | 7447
STEP OAK BARON SIENNA L 1000 BR MDB PN | Дуб Барон Сиенна браш | 1000х140х14 | кв.м (7,14шт.) | 8372.619047619
пачка(6шт.=0,84кв.м) | 7033
STEP OAK BARON RUSTIC L 1000 BR MDB PN | Дуб Барон Рустик браш | 1000х140х14 | кв.м (7,14шт.) | 8372.619047619
пачка(6шт.=0,84кв.м) | 7033
STEP OAK ROYL ANTIQUE WHITE L 1000 BR M | Дуб Роял Антик белый браш | 1000х140х14 | кв.м (7,14шт.) | 6228.5714285714
пачка(6шт.=0,84кв.м) | 5232
STEP OAK ROYL AZURE L 1000 BR MDB PN DG | Дуб Роял Азур браш | 1000х140х14 | кв.м (7,14шт.) | 8073.8095238095
пачка(6шт.=0,84кв.м) | 6782
STEP OAK ROYL GREY L 1000 BR MDB PN DG | Дуб Роял Грей браш | 1000х140х14 | кв.м (7,14шт.) | 8372.619047619
пачка(6шт.=0,84кв.м) | 7033
STEP OAK POLAR L 1000 MDB CL DG | Дуб Полар | 1000х140х14 | кв.м (7,14шт.)
пачка(6шт.=0,84кв.м)
STEP OAK BARON SAND L 1000 BR MDB PN | Дуб Барон песочный браш | 1000х140х14 | кв.м (7,14шт.) | 8372.619047619
пачка(6шт.=0,84кв.м) | 7033
1200х140х14
