Прайс ОКЛИ с 16.08.2023 okli-parket@mail.ru | Номер телефона: (812) 232-12-85
№ | Товар | Дилер | РРЦ | Параметры | Селекция | Фаска | Покрытие | Цвет | Браш | Замок
PICCOLO (0,99м2)
1 | Дуб ALMOND | 53 | 76 | 1-пол,14х130х1092 | Family | Нет | Матовый лак | White-Wash | Есть | 5Gc HDF
2 | Дуб APRICOT SORBET | 50 | 71 | 1-пол,14х130х1092 | Country | 4 микро | Масло OXY | Серый | Есть | 5Gc HDF
3 | Дуб ASKANIA | 51 | 73 | 1-пол,14х130х1092 | Family | 4 | Полумат лак | нет | нет | 5Gc HDF
4 | Дуб BROWN SUGAR | 49 | 70 | 1-пол,14х130х1092 | Country | 4 микро | Матовый лак | Коньяк | Есть | 5Gc HDF
5 | Дуб COCONUT | 53 | 73 | 1-пол,14х130х1092 | Family | 4 микро | Масло OXY | Белый | Есть | 5Gc HDF
6 | Дуб ESPRESSO | 50 | 71 | 1-пол,14х130х1092 | Country | 4 микро | Матовый лак | Espresso | нет | 5Gc HDF
7 | Дуб NUGAT Piccolo | 50 | 71 | 1-пол,14х130х1092 | Country | 4 микро | Матовый лак | Орех | нет | 5Gc HDF
8 | Дуб PEACH Piccolo | 52 | 74 | 1-пол,14х130х1092 | Family | Нет | Матовый лак | нет | Есть | 5Gc HDF
9 | Дуб SNOWFLAKES | 52 | 74 | 1-пол,14х130х1092 | Family | 4 микро | Матовый лак | Белый | Есть | 5Gc HDF
10 | Ясень MOONLIGHTREM!! | 52 | 74 | 1-пол,14х130х1092 | Select | нет | Матовый лак | Белый | нет | 5Gc HDF
11 | Ясень SAIMAA | 48 | 68 | 1-пол,14х130х1092 | Family | 4 | Полумат лак | нет | нет | 5Gc HDF
12 | Ясень UMBRA | 47 | 71 | 1-пол,14х130х1092 | Country | 4 микро | Матовый лак | Орех | Есть | 5Gc HDF
GRANDE (2,77м2)
1 | Дуб ALMOND | 64 | 91 | 1-пол,14х180х2200 | Family | нет | Матовый лак | White-Wash | Есть | 5Gc фанера
2 | Дуб ASKANIA | 63 | 90 | 1-пол,14х180х2200 | Family | нет | Полумат лак | нет | нет | 5Gc фанера
3 | Дуб CALVADOS | 60 | 86 | 1-пол,14х180х2200 | Vintage | 4 | Масло OXY | нет | Есть | 5Gc фанера
