Категория  | Дата | Изменения
  |   | Изменения 06 июня 2025г
Плитка LVT и SPC | 45814 | Повышены цены на плитку SPC Bonkeel Base NEW
Коммерческий ковролин | 45814 | Добавлена цена нарезки на коммерческий ковролин Bonkeel Soul One и Soul Two
Коммерческий ковролин | 45814 | Изменена матрица хранения на коммерческий ковролин Bonkeel Soul One и Soul Two
Плитка LVT и SPC | 45814 | Оставлены только цены акции на плитку SPC Bonkeel Wood, старый Base и старый Line
Коммерческий линолеум | 45814 | Добавлена матрица хранения Ростов-на-Дону
Плитка LVT и SPC | 45814 | Добавлена матрица хранения Ростов-на-Дону
Ламинат | 45814 | Добавлена матрица хранения Ростов-на-Дону
Подложка | 45814 | Добавлена матрица хранения Ростов-на-Дону
Плинтус | 45814 | Добавлена матрица хранения Ростов-на-Дону
Клей | 45814 | Добавлена матрица хранения Ростов-на-Дону
  |   | Изменения 03 июня 2025г
Плитка LVT и SPC | 45811 | Разведены в два столбца цены Дилер на клеевую плитку LVT Bonkeel Discostar и Bonkeel Rockstar при базовой и комплексной покупке, добавлена расшифровка значения слова "комплекс"
Плитка LVT Invictus | 45811 | Разведены в два столбца цены Дилер на клеевую плитку LVT Invictus при базовой и комплексной покупке, добавлена расшифровка значения слова "комплекс"
Плитка LVT и SPC | 45811 | Снижена цена акции на декор Tony плитки LVT Tarkett Rockstars
Плитка LVT и SPC | 45811 | Снижены цены акции на плитку SPC Bonkeel старый Line и старый Base, оставлено только условие "цены на склад. запас"
Плитка LVT Invictus | 45811 | Изменена толщина на замковую плитку LVT Invictus Primus Plank XL и убран из матрицы хранения Москвы декор Rock
Ламинат | 45811 | Добавлен новый размер ламината Tarkett Cinema
Клей | 45811 | Убран из матрицы хранения Москвы клей Homakoll 217, шпатель B3 и B11
Клей | 45811 | Убран из матриц хранения Москвы и Екатеринбурга клей Homaprof 850 STP
Клей | 45811 | Убран из матриц хранения всех филиалов клей Homakoll 212, клей Homakoll жидкие гвозди "Стальная Хватка" 1,5кг и 4,5кг
  |   | Изменения 02 июня 2025г
Коммерческий ковролин | 45810 | Окончание акции снижения цены рулона и нарезки на складской запас коммерческого ковролина AW Tulle декор Silver и AW Westminster декоры 49 и 39
  |   | Изменения 30 мая 2025г
Клей | 45807 | Снижены цены на клей для напольных и виниловых покрытий Bonkeel
Плитка LVT и SPC | 45807 | Добавлены отметки PL (планка), TI (плитка) и HB (ёлка) в наименование коллекций
  |   | Изменения 28 мая 2025г
Коммерческий ковролин | 45805 | Разведена в два столбца цена рулона на коммерческий ковролин при базовой и комплексной покупке, добавлена расшифровка значения слова "комплекс"
Подложка | 45805 | Добавлена в матрицу хранения Тюмени хвойная подложка Белтермо 3 мм
  |   | Изменения 27 мая 2025г
Ковровая плитка | 45804 | Разведены в два столбца цены Дилер на ковровую плитку при базовой и комплексной покупке, добавлена расшифровка значения слова "комплекс"
  |   | Изменения 23 мая 2025г
Клей | 45800 | Снижены цены на клей многоцелевой Bonkeel Prof для пола и стен
Ковровая плитка | 45800 | Добавлены новые коллекции коммерческой ковровой плитки Bonkeel Affect и Age
Ковровая плитка | 45800 | Добавлена новая бытовая ковровая плитка Invictus Crixus, Priscus и Spartacus
Плитка LVT и SPC | 45800 | Добавлены отметки "выводится" на плитку SPC Bonkeel Pine, Tile, Wood, старый Line и старый Base
  |   | Изменения 22 мая 2025г
Плитка LVT и SPC | 45799 | Вынесена на отдельный лист плитка LVT Invictus
Плитка LVT Invictus | 45799 | Добавлена система розничных скидок в зависимости от кол-ва м2 по плитке LVT Invictus
Ковровая плитка | 45799 | Снижены цены на ковровую плитку AW Mineral, Metro, Marvel, Mantra, Macro и Marathon
  |   | Изменения 21 мая 2025г
Плинтус | 45798 | Изменена ЕИ цены на штуку у коннелюрного плинтуса Bonkeel Prof односоставного
  |   | Изменения 20 мая 2025г
Плитка LVT и SPC | 45797 | Добавлены новые коллекции SPC плитки Bonkeel Just и Next
Подложка | 45797 | Добавлена в матрицу хранения Екатеринбурга и Тюмени подложка Bonkeel Wood
Клей | 45797 | Изменена матрица хранения на "под-заказ" по клею Homakoll 734 2K PU
  |   | Изменения 16 мая 2025г
Ламинат | 45793 | Добавлена новая коллекция ламината Tarkett Orchestra
Плинтус | 45793 | Добавлена отметка "выводится" на плинтус Vega P1020
Ковролин концепты AW | 45793 | Добавлена отметка "выводится" на ковролин коллекция Vittorio
  |   | Изменения 13 мая 2025г
Ковролин концепты AW | 45790 | Добавлены отметки с промо ценами для коллекций и декоров ковролина представленных в ТРИО Kiama 11, 17, 48, 90, 98 и Ganges 80
  |   | Изменения 12 мая 2025г
Ламинат | 45789 | Снижены цены на ламинат Classen Villa WR, Vision WR, Visio Grande WR, Impression WR и Herringbone Ville
Линолеум бытовой рулоны | 45789 | Добавлена новая коллекция бытового линолеума Tarkett Hometown
Линолеум бытовой рулоны | 45789 | Изменены матрицы хранения по филиалам на некоторые декоры бытового линолеума
Плитка LVT и SPC | 45789 | Убрана из матрицы хранения Тюмени и Сургута плитка SPC Bonkeel Style HB
Подложка | 45789 | Удалена из прайса подложка Bonkeel Soft Carpet, Carpet XL и Contract XL
Коммерческий ковролин | 45789 | Продление акции до 31.05.25: снижены цены рулона и нарезки на складской запас коммерческого ковролина AW Tulle декор Silver и AW Westminster декоры 49 и 39
Ковровая плитка | 45789 | Окончание акции снижения цены Дилер на складской запас ковровой плитки Bonkeel Sensei декор Granite
  |   | Изменения 30 апреля 2025г
Коммерческий ковролин | 45777 | Внесены объемы по паспортизации
Ковровая плитка | 45777 | Внесены объемы по паспортизации
Плитка LVT и SPC | 45777 | Внесены объемы по паспортизации
  |   | Изменения 25 апреля 2025г
Услуги для ковролина | 45772 | Повышены цены на услуги для ковролина
Услуги для ковролина | 45772 | Добавлена услуга для ковролина подгиб покрытия
Подложка | 45772 | Повышены цены на подложку-гармошку Bonkeel Smart и Antislip Underlay LVT Rigid
Коммерческий линолеум | 45772 | Добавлен в матрицу хранения Москвы и Екатеринбурга коммерческий линолеум IQ Era SC 800 и 802
  |   | Изменения 23 апреля 2025г
Бытовой ковролин | 45770 | Снижены цены рулона и нарезки на бытовой ковролин Sintelon Global и Favorit
Ковры | 45770 | Убрана из прайса категория товара Ковры
Клей | 45770 | Добавлена в прайсы новая фасовка 7,5кг у клея для напольных покрытий Bonkeel и клея для виниловых покрытий Bonkeel
  |   | Изменения 22 апреля 2025г
Подложка | 45769 | Повышены цены на гидропароизоляционную пленку Изобонд
Коммерческий ковролин | 45769 | Изменена цена рулона на коммерческий ковролин AW Medusa
Коммерческий ковролин | 45769 | Снижены цены рулона и нарезки на коммерческий ковролин AW Berber Point
Бытовой ковролин | 45769 | Изменены цены рулона и нарезки на бытовой ковролин AW Color Rib
  |   | Изменения 21 апреля 2025г
Линолеум бытовой рулоны | 45768 | Изменен сертификат бытового линолеума Tarkett Force R на КМ2
Линолеум нарезка Tarkett | 45768 | Изменен сертификат бытового линолеума Tarkett Force R на КМ2
  |   | Изменения 18 апреля 2025г
Ковролин концепты AW | 45765 | Повышены цены РРЦ на ковролин концепты AW Multibrand коллекция Impulse, Life Story коллекция Performa, Symphony коллекция Capriccio
Ковровая плитка | 45765 | Акция до 30.04.25: снижена цена Дилер на складской запас ковровой плитки Bonkeel Sensei декор Granite
Коммерческий ковролин | 45765 | Акция до 30.04.25: снижены цены рулона и нарезки на складской запас коммерческого ковролина AW Tulle декор Silver и AW Westminster декоры 49 и 39
Бытовой ковролин | 45765 | Добавлен новый бытовой ковролин Bonkeel Next и Newland
Плитка LVT и SPC | 45765 | Убран из прайса декор плитки LVT Tarkett Rockstars Terrazzo
