Прайс ОКЛИ с 01.01.2025 okli-parket@mail.ru т.(812) 232-12-85
№ | Товар | Дилер | РРЦ | Селекция | Фаска | Покрытие | Цвет | Браш | Коллекция
Essence 1-полосная 138мм (1,23м2) 14x138x1116
1 | OAK STORY 138 SANDY WHITE | 5971 | 7876 | Natur | 4 | Бел. мат лак | Песочный белый | Есть | Essence
2 | OAK STORY 138 MISTY GREY | 5608 | 7399 | Mix Natur | 4 | Мат. лак | Дымный серый | Есть | Essence
3 | OAK STORY 138 GRAIN BROWN | 5608 | 7399 | Mix Natur | 4 | Мат. лак | Тоффи | Нет | Essence
4 | OAK STORY 138 POLAR WHITE | 5608 | 7399 | Mix Natur | 4 | Бел. мат лак | Инистый белый | Нет | Essence
5 | OAK STORY 138 TENDER WHITE | 5608 | 7399 | Natur | 4 | Бел. мат лак | Чай с молоком | Нет | Essence
6 | OAK STORY 138 TRUE MATT | 4743 | 6085 | Country | 4 | Мат. лак | Тоффи | Нет | Essence
7 | OAK STORY 138 BURNT SIENNA | 5502 | 7261 | Country | 4 | Мат. лак | Светлo-коричневый | Есть | Essence
8 | OAK STORY 138 CINDER DARK | 5502 | 7241 | Country | 4 | Мат. лак | Кофе | Есть | Essence
9 | ASH STORY 138 WHITE ORCHID | 5240 | 6922 | Country | 4 | Бел. мат лак | Бело-розовый | Есть | Essence
10 | ASH 4 STORY 138 FAWN BROWN NEW! | 4655 | 6148 | Country | 4 | Мат. лак | Коричневый | Есть | Essence
11 | ASH 4 STORY 138 SLATE GREY NEW! | 4655 | 6148 | Country | 4 | Мат. лак | Серый | Есть | Essence
1-полосная 138мм (2м2)14*138*1800мм (2,2м2) 14*138*2000мм
1 | OAK STORY 138 ELEGANT | 5926 | 8170 | Mix Natur | 4 | Сатин. лак | Натуральный | Нет | Libra
2 | OAK STORY 138 COUNTRY BRUSHED MATT | 5571 | 7360 | Country | 4 | Мат. лак | Тоффи | Есть | Libra
3 | OAK STORY 138 TIMBER OILED NEW! | 5801 | 8000 | Mix Natur | 4 | Масло | Натуральный | Есть | Libra
4 | OAK STORY 138 BRUSHED NEW ARCTIC | 6641 | 9180 | Natur | 4 | Белое масло | Песочный | Есть | Dawn
5 | OAK STORY 138 NATUR VANILLA MATT | 6791 | 9340 | Natur | 4 | Мат. лак | Слоновая кость | Нет | Dawn
6 | OAK STORY 138 FROSTBITE    | 7443 | 10280 | Natur | 4 | Лак | Пепельно-коричн. | Есть | Light
7 | OAK STORY 138 BROWN SUGAR   REM! | 4990 | 6880 | Country | 4 | Мат. лак | Пепельно-коричн. | Есть | Urban Soul
